"_id","Sati_aktivnog_rada"
"MCzt8oiQYU","0.016666666666666666"
"ssxsD9sz3W","0.016666666666666666"
"67hDslsqRp","0.06666666666666667"
"XsmOm2Gs0i","0.08333333333333334"
"8NuEtWLaH9","0.11666666666666667"
"RMKnL7LBIz","0.13333333333333333"
"uMae2JrEVV","0.16666666666666666"
"s2M6zLXI78","0.18333333333333332"
"peveJ5filU","0.19999999999999998"
"ybp1xEaFGb","0.25"
"F4R9IVDLuv","0.26666666666666666"
"T1AzP70USp","0.26666666666666666"
"vvyDUPQrs3","0.33333333333333337"
"ArL1T6Kz83","0.36666666666666664"
"gV91EsThnk","0.4"
"fTIBWOjS72","0.5166666666666666"
"PpgyK99KCp","0.5333333333333333"
"cSvI9YJbOm","0.6333333333333333"
"L8pNYn8iDx","0.95"
"4yqvEFf1nK","1.0166666666666666"
"Feya96BXFh","1.0333333333333334"
"UTmavsF5PP","1.0666666666666667"
"qL3A1wbhrd","1.1"
"YIqkZzK3Mr","1.1500000000000001"
"m8DL9PMSGw","1.1666666666666667"
"5azcUrVT0J","1.2"
"OQhgIhyhlu","1.2333333333333334"
"4i1lgSLTSN","1.25"
"qNv668q9kt","1.3833333333333333"
"47FDVmmNiI","1.45"
"xtuts8v2q5","1.45"
"iW1zEits8l","1.4666666666666666"
"ah6hOmGxWb","1.5"
"bdKIlE1BnH","1.5166666666666666"
"nJ7xI6p6ke","1.6"
"pEylj3e9vg","1.6333333333333333"
"Xo9Cmm38zb","1.7166666666666663"
"qhSxF8W44i","1.75"
"lonfQAhonh","1.7999999999999998"
"iaiczoxwkA","1.8166666666666667"
"gFQWc9lAYl","1.8333333333333333"
"TzdEINqeQ3","1.8499999999999999"
"Rq1GYMOulj","1.8666666666666667"
"PbOWZ4AgzP","2.033333333333333"
"i5YJEliGqt","2.0333333333333337"
"a0wIqeSQUl","2.083333333333333"
"lEod4cQOjA","2.1"
"vNzsv601Hq","2.216666666666667"
"2B6gXwZymG","2.2666666666666666"
"xRuPReL1Oj","2.2833333333333337"
"zgUHLXCr8H","2.3"
"A4aN8DGUfo","2.316666666666667"
"kugsNJGHM0","2.333333333333333"
"Wov4xNpA7T","2.4"
"y9inaGnzv3","2.533333333333333"
"5viTeO254r","2.6333333333333333"
"YWKNGvvRYL","2.733333333333333"
"5Xy5FLuRBs","2.783333333333333"
"jYvKmEqWDL","2.8"
"u5CdlhYtYG","2.8"
"SaYe2jfvm1","2.883333333333333"
"D8iGlDUZKU","2.9166666666666665"
"1St0W9d3UR","2.933333333333333"
"j2Soc3UXMe","2.966666666666667"
"rMjbwe6TAt","2.9833333333333334"
"90KIwNKUvv","3.033333333333333"
"6YphpRxvE3","3.0666666666666664"
"9L2oPqIEod","3.0833333333333335"
"g8kcrWKlGL","3.0833333333333335"
"yXWwDOFcQ4","3.1166666666666663"
"Piv2BAVBjb","3.1833333333333336"
"B2WLtRUAOU","3.233333333333333"
"8JJFwXoLpL","3.2333333333333334"
"i4ElfNu4I4","3.3166666666666664"
"XAPAJAePCH","3.4166666666666665"
"eV1GNUy2Ap","3.4833333333333334"
"5mixF1JgVb","3.55"
"H2g5LKv7Ij","3.566666666666667"
"LGB7smMulx","3.6"
"WOg3c6F2qb","3.6"
"yRnwMray1A","3.7166666666666663"
"bvdd8e6v4G","3.833333333333333"
"ND613TCbyn","3.9499999999999997"
"WVoV8iCOvj","4.033333333333333"
"OcoWwsm54i","4.116666666666666"
"k69fpLinYU","4.183333333333334"
"BHenA5dW8D","4.233333333333333"
"N9fJdBUfyb","4.316666666666666"
"orFAnXZYab","4.3500000000000005"
"KaQvuJKE7J","4.5666666666666655"
"ACxAy1mknC","4.583333333333334"
"YPq8dbTDH8","4.6"
"U3kOUVhX4u","4.6000000000000005"
"BS4BzvMClR","4.616666666666666"
"Zrujj6xMaq","4.683333333333333"
"Bgb3ajTUIU","4.7"
"8oHVF7h31k","4.749999999999999"
"qKZnOoSVms","4.8"
"5DNZ0uFGC6","4.933333333333334"
"Kyp6QpeCbb","4.933333333333334"
"347kO8vj7X","4.95"
"Wt3qHm77HF","5.199999999999999"
"CZYx6FxilE","5.3500000000000005"
"dSxP3wkcnC","5.366666666666667"
"jG0yHeybgv","5.416666666666667"
"UEBl7EdDZ9","5.6000000000000005"
"aX6GAcHASd","5.616666666666666"
"3UWuyQEZHP","5.699999999999999"
"pWl78Hwkxf","5.699999999999999"
"4PKCUOIPzN","5.816666666666666"
"hS1Alp29rA","5.816666666666666"
"I1WKiHb3sv","5.866666666666667"
"kbG28DWnEl","5.883333333333333"
"F1GQYRSH4a","5.883333333333334"
"FLOCBZVuYI","5.916666666666666"
"HOmh8xguwZ","6.016666666666667"
"7CjxU6Jln7","6.033333333333333"
"zvUFzNT00D","6.050000000000001"
"7tO4vbp7rU","6.166666666666666"
"FWw3BWp2XD","6.216666666666667"
"mEGSpytwgC","6.283333333333333"
"Xekqt4Riib","6.3"
"Up6wU1HtKA","6.316666666666666"
"4c00HjiYsR","6.366666666666667"
"Tr02JwZjhy","6.633333333333334"
"JFP2jysoTw","6.766666666666667"
"3sPKDEZOf9","6.883333333333333"
"gLEFOUvL5L","6.938055555555555"
"HChGv1Ltx7","7.016666666666667"
"JNVYnaVRsp","7.066666666666666"
"peBlph5jGD","7.083333333333332"
"8KTWHJ2fal","7.1499999999999995"
"7HQTgbcgHr","7.166666666666666"
"GQ6XfzyoVV","7.433333333333333"
"lzV1KUQn8T","7.583333333333332"
"gBC76gPy7m","7.616666666666665"
"GqRPnldMPY","7.8999999999999995"
"A0jMyT0kkH","7.966666666666668"
"KKryhhE2gy","8.2"
"GOWpomgZRl","8.200000000000001"
"etnRx8ByV3","8.233333333333334"
"xyp3Kg2goA","8.266666666666666"
"nVK2s9FHsC","8.433333333333332"
"aL0ST7jF64","8.483333333333334"
"TGcsI3ITMY","8.5"
"ksGaHezQ3t","8.516666666666667"
"VPq8iKMsqe","8.783333333333333"
"ibAALs4Kib","8.983333333333333"
"v5LZ5huEJh","9.016666666666667"
"VDKHk5vrkl","9.366666666666667"
"FtTLSvGc1A","9.433333333333334"
"3axCOOrlSE","9.916666666666666"
"rlnnUh0s4B","10.15"
"IFACNNQMQ1","10.650000000000002"
"DNecVzJYHg","10.799999999999999"
"QAyf5DdeQx","11.499999999999998"
"9sKFu8BKHj","12.383333333333333"
"BHKa9Vb55H","12.499999999999998"
"df3blK7xCK","12.566666666666666"
"5qHbqw5YPH","12.733333333333334"
"HdWvf4os41","13.716666666666669"
"ot14vyu994","14.383333333333333"
"LHCZn2Q5LI","15.599999999999998"
"tdNQLbe1QH","16.016111111111112"
"jiF3iUHaZI","17.283333333333335"
"kL2NhZZs10","17.76666666666667"
"8C6Z4ZOziK","18.433333333333334"
"DHXMANe4YC","19.266666666666666"
"E7SrxqsbIX","21.266666666666673"
"dDgiOkAFrM","22.083333333333332"
