"_id","Vreme_rada_po_velicini_projekta"
"ssxsD9sz3W","0.00004567183293579917"
"gV91EsThnk","0.00033008740542939076"
"RMKnL7LBIz","0.00038336463868418754"
"s2M6zLXI78","0.00039590272846415445"
"peveJ5filU","0.000466252027877012"
"8NuEtWLaH9","0.0004697806067889092"
"F4R9IVDLuv","0.0005169833872977554"
"T1AzP70USp","0.0005306596063010615"
"nJ7xI6p6ke","0.0006911014186321376"
"xtuts8v2q5","0.0008481711079989033"
"vvyDUPQrs3","0.0009105721478730822"
"fTIBWOjS72","0.0009333013159401375"
"cSvI9YJbOm","0.0009708036214462699"
"PpgyK99KCp","0.0011778427738008222"
"4i1lgSLTSN","0.0017695909361953677"
"jYvKmEqWDL","0.001870124762774441"
"YIqkZzK3Mr","0.002057308454044038"
"UTmavsF5PP","0.0020721424652153826"
"Xo9Cmm38zb","0.002480348511840784"
"Feya96BXFh","0.002923034111545898"
"47FDVmmNiI","0.002933786839640345"
"m8DL9PMSGw","0.0031106704711473775"
"ah6hOmGxWb","0.0031416756560265985"
"4yqvEFf1nK","0.003470942112639273"
"pEylj3e9vg","0.003485974821827074"
"iaiczoxwkA","0.0035317341096259796"
"a0wIqeSQUl","0.003952852700167877"
"5Xy5FLuRBs","0.004028241811048894"
"bdKIlE1BnH","0.004564613707169836"
"gFQWc9lAYl","0.004768495173757176"
"PbOWZ4AgzP","0.004789769511195168"
"5viTeO254r","0.005112088040274101"
"TzdEINqeQ3","0.005231354530977802"
"iW1zEits8l","0.005244611058423286"
"1St0W9d3UR","0.005661203663012784"
"2B6gXwZymG","0.005747179587755494"
"A4aN8DGUfo","0.005783284566743025"
"Rq1GYMOulj","0.005902812143392239"
"Wt3qHm77HF","0.006352162637931629"
"5mixF1JgVb","0.006385440400536183"
"kugsNJGHM0","0.006388078794519369"
"i5YJEliGqt","0.006413414844347844"
"lonfQAhonh","0.006457212377741929"
"YWKNGvvRYL","0.006581222254244908"
"lEod4cQOjA","0.006600608275461627"
"xRuPReL1Oj","0.0068636238154166"
"qhSxF8W44i","0.00691209304872017"
"WOg3c6F2qb","0.007093918175253233"
"vNzsv601Hq","0.0073945507683899365"
"Piv2BAVBjb","0.007408765473652553"
"FWw3BWp2XD","0.0077026210631901335"
"Wov4xNpA7T","0.007780564381948564"
"8KTWHJ2fal","0.007805365456819783"
"j2Soc3UXMe","0.007814990080693569"
"y9inaGnzv3","0.007815585600486041"
"u5CdlhYtYG","0.007988982827780397"
"6YphpRxvE3","0.008108942597108069"
"k69fpLinYU","0.008126126633487985"
"90KIwNKUvv","0.008269280508880214"
"i4ElfNu4I4","0.008359665662287425"
"gBC76gPy7m","0.008569168647681449"
"Tr02JwZjhy","0.008579881797593787"
"eV1GNUy2Ap","0.00885658311212257"
"hS1Alp29rA","0.008889124802267726"
"ND613TCbyn","0.00898126616728397"
"SaYe2jfvm1","0.00929236603359672"
"UEBl7EdDZ9","0.00954358787150107"
"8JJFwXoLpL","0.009980004320176065"
"OcoWwsm54i","0.010007819900170915"
"B2WLtRUAOU","0.010069103274218809"
"8oHVF7h31k","0.01010346836783847"
"Zrujj6xMaq","0.010275302224104842"
"g8kcrWKlGL","0.010741400887426816"
"rlnnUh0s4B","0.010843241962337524"
"9L2oPqIEod","0.010915672867401721"
"BS4BzvMClR","0.010921579582512619"
"bvdd8e6v4G","0.01105750731216188"
"347kO8vj7X","0.011075903291533299"
"4c00HjiYsR","0.011431556043967003"
"dSxP3wkcnC","0.011823820504043825"
"mEGSpytwgC","0.01195890246677439"
"WVoV8iCOvj","0.012274715702967228"
"orFAnXZYab","0.012320302598463229"
"peBlph5jGD","0.012573036732129651"
"GQ6XfzyoVV","0.01304978607095952"
"Bgb3ajTUIU","0.013262894910327682"
"tdNQLbe1QH","0.013322164438732517"
"qKZnOoSVms","0.01362176152951088"
"BHenA5dW8D","0.0140423621412504"
"rMjbwe6TAt","0.014389287328694756"
"aX6GAcHASd","0.014435724814098591"
"QAyf5DdeQx","0.014554927322483823"
"LGB7smMulx","0.014627498571603094"
"KaQvuJKE7J","0.01477973258841684"
"yRnwMray1A","0.014843479293307012"
"lzV1KUQn8T","0.015048721301111017"
"KKryhhE2gy","0.015372408045070642"
"GOWpomgZRl","0.015559795820323912"
"HOmh8xguwZ","0.015734297589053217"
"3sPKDEZOf9","0.01594989618475284"
"VPq8iKMsqe","0.015984390438107482"
"DNecVzJYHg","0.01605651213127715"
"aL0ST7jF64","0.01609427679402158"
"I1WKiHb3sv","0.016542229900064605"
"kbG28DWnEl","0.016901437853938016"
"JNVYnaVRsp","0.017284131634381424"
"N9fJdBUfyb","0.01736147191558392"
"4PKCUOIPzN","0.018233625760779398"
"v5LZ5huEJh","0.01824039344284659"
"VDKHk5vrkl","0.019724854642595557"
"U3kOUVhX4u","0.020419600656468063"
"BHKa9Vb55H","0.022711275961904795"
"CZYx6FxilE","0.023533749521002376"
"IFACNNQMQ1","0.024941865406778542"
"A0jMyT0kkH","0.025200549290796695"
"kL2NhZZs10","0.02544372503603353"
"df3blK7xCK","0.02792599594568527"
"TGcsI3ITMY","0.030541779393619427"
"DHXMANe4YC","0.03213660565531281"
"9sKFu8BKHj","0.032497524671498655"
"ibAALs4Kib","0.03262966829076182"
"3axCOOrlSE","0.04084087477127111"
"Xekqt4Riib","0.05249221821853157"
