"project id","tasks__operator","Task_Name","photoCaptures","work_time","work_time_by_photocaptures","broj operatera"
"8NuEtWLaH9","loO0gOUSOP","Photo Capture","16","240","15","1"
"HOmh8xguwZ","sjPT3lh2KD","Photo Capture","10","240","24","1"
"Rq1GYMOulj","1u0r08ObeW","Photo Capture","15","480","32","1"
"i4ElfNu4I4","1u0r08ObeW","Photo Capture","15","480","32","1"
"lonfQAhonh","6cSASzlvvZ","Photo Capture","15","540","36","1"
"aL0ST7jF64","Pg4tLhVlLo","Photo Capture","16","600","37.5","1"
"vNzsv601Hq","1u0r08ObeW","Photo Capture","11","420","38.18181818181818","1"
"orFAnXZYab","1u0r08ObeW","Photo Capture","17","660","38.8235294117647","1"
"VDKHk5vrkl","Pg4tLhVlLo","Photo Capture","10","420","42","1"
"ibAALs4Kib","loO0gOUSOP","Photo Capture","14","600","42.857142857142854","1"
"GQ6XfzyoVV","Pg4tLhVlLo","Photo Capture","12","240","45","1"
"xRuPReL1Oj","6cSASzlvvZ","Photo Capture","13","600","46.15384615384615","1"
"3sPKDEZOf9","1u0r08ObeW","Photo Capture","23","1080","46.95652173913044","1"
"3axCOOrlSE","1u0r08ObeW","Photo Capture","10","480","48","1"
"5mixF1JgVb","6cSASzlvvZ","Photo Capture","15","720","48","1"
"90KIwNKUvv","MEC7wXtrc8","Photo Capture","15","720","48","1"
"k69fpLinYU","loO0gOUSOP","Photo Capture","12","600","50","1"
"OcoWwsm54i","462bsh78PH","Photo Capture","13","660","50.76923076923077","1"
"KaQvuJKE7J","1u0r08ObeW","Photo Capture","15","780","52","1"
"KKryhhE2gy","2vmegDpwR0","Photo Capture","14","780","55.714285714285715","1"
"ND613TCbyn","KfYBg2x4Gr","Photo Capture","15","840","56","1"
"j2Soc3UXMe","mm8nYzp800","Photo Capture","15","840","56","1"
"LGB7smMulx","1u0r08ObeW","Photo Capture","9","540","60","1"
"WVoV8iCOvj","KfYBg2x4Gr","Photo Capture","15","900","60","1"
"u5CdlhYtYG","1u0r08ObeW","Photo Capture","13","360","60","1"
"i5YJEliGqt","P9o6tGp12k","Photo Capture","15","960","64","1"
"y9inaGnzv3","MEC7wXtrc8","Photo Capture","15","960","64","1"
"9L2oPqIEod","miNAe91tcO","Photo Capture","14","900","64.28571428571429","1"
"4c00HjiYsR","Pg4tLhVlLo","Photo Capture","11","720","65.45454545454545","1"
"SaYe2jfvm1","KfYBg2x4Gr","Photo Capture","10","660","66","1"
"v5LZ5huEJh","KfYBg2x4Gr","Photo Capture","18","1200","66.66666666666667","1"
"hS1Alp29rA","462bsh78PH","Photo Capture","15","1020","68","1"
"kL2NhZZs10","loO0gOUSOP","Photo Capture","14","960","68.57142857142857","1"
"rMjbwe6TAt","MEC7wXtrc8","Photo Capture","27","1920","71.11111111111111","1"
"8oHVF7h31k","loO0gOUSOP","Photo Capture","16","1140","71.25","1"
"A0jMyT0kkH","sjPT3lh2KD","Photo Capture","15","1080","72","1"
"A4aN8DGUfo","MEC7wXtrc8","Photo Capture","13","960","73.84615384615384","1"
"UEBl7EdDZ9","loO0gOUSOP","Photo Capture","17","1380","81.17647058823529","1"
"FWw3BWp2XD","loO0gOUSOP","Photo Capture","15","1260","84","1"
"g8kcrWKlGL","MEC7wXtrc8","Photo Capture","15","1260","84","1"
"GOWpomgZRl","Pg4tLhVlLo","Photo Capture","16","1260","93.75","1"
"N9fJdBUfyb","P9o6tGp12k","Photo Capture","14","1320","94.28571428571429","1"
"rlnnUh0s4B","P9o6tGp12k","Photo Capture","20","1920","96","1"
"9sKFu8BKHj","mm8nYzp800","Photo Capture","16","1560","97.5","1"
"VPq8iKMsqe","mm8nYzp800","Photo Capture","15","1500","100","1"
"BHKa9Vb55H","mm8nYzp800","Photo Capture","16","1620","101.25","1"
"peBlph5jGD","2vmegDpwR0","Photo Capture","13","1320","101.53846153846153","1"
"IFACNNQMQ1","P9o6tGp12k","Photo Capture","20","2040","102","1"
"JNVYnaVRsp","6cSASzlvvZ","Photo Capture","15","1560","104","1"
"aX6GAcHASd","iQlWCCokSE","Photo Capture","15","1620","108","1"
"Zrujj6xMaq","mm8nYzp800","Photo Capture","12","1320","110","1"
"dSxP3wkcnC","MEC7wXtrc8","Photo Capture","15","1680","112","1"
"4PKCUOIPzN","462bsh78PH","Photo Capture","10","1140","114","1"
"DNecVzJYHg","KfYBg2x4Gr","Photo Capture","20","2280","114","1"
"QAyf5DdeQx","P9o6tGp12k","Photo Capture","21","2400","114.28571428571429","1"
"BHenA5dW8D","KfYBg2x4Gr","Photo Capture","12","1440","120","1"
"5viTeO254r","loO0gOUSOP","Photo Capture","15","1980","132","1"
"pEylj3e9vg","Pg4tLhVlLo","Photo Capture","13","900","133.84615384615384","1"
"kbG28DWnEl","mm8nYzp800","Photo Capture","12","1680","140","1"
"lzV1KUQn8T","sjPT3lh2KD","Photo Capture","15","2100","140","1"
"Wt3qHm77HF","KfYBg2x4Gr","Photo Capture","15","720","184","1"
"8JJFwXoLpL","mm8nYzp800","Photo Capture","14","2880","205.71428571428572","1"
"CZYx6FxilE","iQlWCCokSE","Photo Capture","9","1380","213.33333333333334","1"
"ibAALs4Kib","miNAe91tcO","Photo Capture","14","10980","784.2857142857143","1"
"kL2NhZZs10","P9o6tGp12k","Photo Capture","14","14220","1015.7142857142857","1"
"3axCOOrlSE","mm8nYzp800","Photo Capture","10","10860","1086","1"
