"project id","tasks__operator","Task_Name","work_time_by_livablearea","broj operatera"
"FWw3BWp2XD","xHRD97oCcg","Assessment","0","1"
"LGB7smMulx","xHRD97oCcg","Assessment","0","1"
"qhSxF8W44i","cCWb8BDoGc","Assessment","0","1"
"QAyf5DdeQx","bKKy3cqEhu","Assessment","0.000021094097568817133","1"
"DNecVzJYHg","bKKy3cqEhu","Assessment","0.000024778568103822766","1"
"aL0ST7jF64","bKKy3cqEhu","Assessment","0.000031619404310454965","1"
"i4ElfNu4I4","xHRD97oCcg","Assessment","0.00004200837016224836","1"
"kL2NhZZs10","bKKy3cqEhu","Assessment","0.00004773681995503476","1"
"xRuPReL1Oj","xHRD97oCcg","Assessment","0.00005009944390815037","1"
"i5YJEliGqt","TFRf71vt9B","Assessment","0.00005256897413399873","1"
"KaQvuJKE7J","xHRD97oCcg","Assessment","0.000053940629884733","1"
"UEBl7EdDZ9","FcyNpCCzIV","Assessment","0.00005680707066369685","1"
"lzV1KUQn8T","bKKy3cqEhu","Assessment","0.00006614822549938909","1"
"orFAnXZYab","xHRD97oCcg","Assessment","0.00009440844903036958","1"
"v5LZ5huEJh","FcyNpCCzIV","Assessment","0.00010114820763131197","1"
"IFACNNQMQ1","bKKy3cqEhu","Assessment","0.00011709795965623728","1"
"Rq1GYMOulj","FcyNpCCzIV","Assessment","0.00015811103955514925","1"
"TGcsI3ITMY","FcyNpCCzIV","Assessment","0.00023954336779309353","1"
"GOWpomgZRl","bKKy3cqEhu","Assessment","0.0006008864239555982","1"
"DHXMANe4YC","mwMA8zHnCv","Assessment","0.0010563936115068223","1"
"DHXMANe4YC","bKKy3cqEhu","Assessment","0.0018903885679595767","1"
"Piv2BAVBjb","xHRD97oCcg","Assessment","0.002986779798278778","1"
"ibAALs4Kib","1ONasxRpOG","Assessment","0.0030874083169366465","1"
