"tasks__operator","Sati_rada"
"J6G6pRc0FT","0.016666666666666666"
"Zr9jAq5GjA","0.016666666666666666"
"0aC0weCUZO","0.03333333333333333"
"CXVD3L3UWT","0.05"
"mOmG5aJMBw","0.1"
"5F20xCD1WX","0.16666666666666666"
"462bsh78PH","1.2833333333333332"
"c2IiL901cb","1.3166666666666667"
"sjPT3lh2KD","1.6333333333333333"
"bKKy3cqEhu","1.7166666666666666"
"SCuob85her","1.8499999999999999"
"iD7IpfJtsH","2.6333333333333333"
"1ONasxRpOG","2.6999999999999997"
"xHRD97oCcg","3.416666666666667"
"loO0gOUSOP","4.833333333333332"
"n8rERbVix1","4.866666666666666"
"SCyIhRheFc","4.888055555555556"
"HozmURAH2S","5.283333333333333"
"1u0r08ObeW","5.299999999999997"
"oce0ogRYlB","5.349999999999999"
"cCWb8BDoGc","5.5"
"OP2lSJx5xw","5.65"
"QJBObJ0uQ2","5.666666666666666"
"Pg4tLhVlLo","5.716666666666665"
"Jp6HmSp9zV","5.8"
"mQJzmFcAP7","5.8"
"2vmegDpwR0","5.800000000000001"
"4LgicHJGyD","5.816666666666667"
"OzHgRSvdN5","5.933333333333333"
"75vfNc1Wze","6.033333333333333"
"E3HBsc92DA","6.2"
"AlsRS93upV","6.316666666666667"
"jU4oFWoVtv","6.3999999999999995"
"iQlWCCokSE","6.449999999999999"
"APnaTJhhYt","6.5"
"2UugdEz95J","6.583333333333334"
"3WGv41YZHO","6.616666666666667"
"MEC7wXtrc8","6.633333333333334"
"KfYBg2x4Gr","6.666666666666666"
"P9o6tGp12k","6.666666666666666"
"5lGNln3Our","6.716666666666666"
"6cSASzlvvZ","6.783333333333334"
"rTHP2F3fHt","6.883333333333333"
"hfviCwEpH6","6.916666666666667"
"FcyNpCCzIV","6.933333333333334"
"d3g8920pzD","6.933333333333334"
"OkZUjse4sS","6.95"
"9KQW28GALF","6.966666666666667"
"HT6HMDaow0","6.966666666666668"
"zfICJULHcJ","7"
"x0QfNGLqsG","7.033333333333334"
"5ralmProvX","7.15"
"bzl9GhFV4i","7.166666666666666"
"g3WKpayJfI","7.199999999999998"
"PbDGz6Qb4f","7.283333333333332"
"78OGnfMmON","7.3"
"nlKGPsVh8E","7.316666666666667"
"7SNSIjVjzY","7.35"
"fhLkb9fJpS","7.383333333333334"
"xZnggklreZ","7.400000000000001"
"EI5nOV3xaS","7.433333333333334"
"PASrAQXniS","7.433333333333334"
"mm8nYzp800","7.449999999999999"
"R6BNaAgzoh","7.466666666666667"
"1E3uPTShAK","7.4833333333333325"
"QElAoxrgPN","7.5"
"m9rfctjNGR","7.5"
"atD2b5sbeH","7.566666666666666"
"TBBR6mXu4L","7.583333333333334"
"vMR5mpAkZD","7.633333333333333"
"XNiEBqSzPH","7.65"
"hl3iMNiVWE","7.666666666666666"
"s5u7HejsRf","7.716666666666667"
"2rWlUSiOly","7.8"
"EsY8BvrRXt","7.800000000000001"
"i9JLeHpOZy","7.816666666666667"
"SXjxAidO78","7.883333333333333"
"LdrWrHLVLD","7.883333333333334"
"VzcyfGPlGM","7.933333333333334"
"FgpJTUQD3n","7.966666666666666"
"tPNDloTTik","7.983333333333334"
"c9eEm6WwGx","8"
"jCCJbSzOvF","8"
"verTI63bp5","8.116666666666667"
"xa5GbX7nsd","8.15"
"sZsiFO6FZa","8.333333333333334"
"3GhesfgAmA","8.466666666666667"
"XEOG1OJgPP","8.6"
"AGi1tYcTg5","8.683333333333334"
"mwMA8zHnCv","8.733333333333333"
"YiWzJQFpuJ","8.783333333333333"
"ZgiFwFURvZ","8.8"
"miNAe91tcO","8.883333333333331"
"E7HJ9fzE59","9.15"
"gnB1hvXXV1","9.233333333333334"
"CXGsYHTki5","9.266666666666666"
"Ukz6FmbY7b","9.283333333333331"
"rJqhp6EXTP","9.399444444444445"
"5D8ktsKwkm","9.499999999999998"
"viBJMfqGQi","9.5"
"DBEZGqhSzH","9.716666666666667"
"cT5uUtDgMF","9.766666666666666"
"MGY8AoS7mw","9.783333333333333"
"met3OfY8Cs","9.9"
"EZwHWzt3gT","10.016666666666666"
"qk8GXGS4AS","10.016666666666667"
"9bq0uIb5Fh","10.083333333333332"
"uaIWLa2KAe","10.149999999999999"
"WxFQdxxRg8","10.166666666666666"
"IrjnaW0MQ1","10.183333333333334"
"ldxhmvk7oZ","10.183333333333334"
"Y4D9VTIX15","10.25"
"P8g2dRwc5P","10.3"
"3ql1T6Bhar","10.333333333333334"
"TFRf71vt9B","10.399999999999999"
"bKVcU0Dg6J","10.483333333333334"
"us8TiZ8ygP","10.516666666666667"
"NH414EguSY","10.566666666666665"
"FsQyGX2H4m","10.583333333333334"
"XH9hDFiMfC","10.616666666666665"
"CY1etv187c","10.983333333333334"
"1pofW9PHH6","11.35"
