"project id","Task_Name","work_time by project size","broj operatera"
"1St0W9d3UR","QA","0.005661203663012784","2"
"2B6gXwZymG","QA","0.005747179587755494","3"
"3axCOOrlSE","QA","0.0022651241469780615","2"
"3sPKDEZOf9","QA","0.0006565332569995116","2"
"47FDVmmNiI","QA","0.0008767638831109077","2"
"4PKCUOIPzN","QA","0.007836801902913781","3"
"4c00HjiYsR","QA","0.006015033415804626","2"
"4i1lgSLTSN","QA","0.0017695909361953677","1"
"4yqvEFf1nK","QA","0.003470942112639273","2"
"5Xy5FLuRBs","QA","0.004028241811048894","2"
"5viTeO254r","QA","0.00022648491317670067","1"
"6YphpRxvE3","QA","0.00039663306181506855","2"
"8JJFwXoLpL","QA","0.001337526352188545","3"
"8KTWHJ2fal","QA","0.0010006878790794595","2"
"8NuEtWLaH9","QA","0.0002013345457666754","1"
"8oHVF7h31k","QA","0.002197947504582404","2"
"90KIwNKUvv","QA","0.001635681858899383","2"
"9L2oPqIEod","QA","0.004189258235597417","2"
"9sKFu8BKHj","QA","0.0029742014504197957","2"
"A0jMyT0kkH","QA","0.0015816244324767799","1"
"A4aN8DGUfo","QA","0.001456222732633136","2"
"B2WLtRUAOU","QA","0.0007266363187580584","2"
"BHKa9Vb55H","QA","0.007540143619352392","3"
"BS4BzvMClR","QA","0.0009068459581147662","2"
"Bgb3ajTUIU","QA","0.001363914724820932","1"
"DHXMANe4YC","QA","0.00036139781446286023","1"
"DNecVzJYHg","QA","0.0011150355646720245","2"
"F4R9IVDLuv","QA","0.0003554260787672069","2"
"GOWpomgZRl","QA","0.0015496544617802268","2"
"GQ6XfzyoVV","QA","0.001989653481670958","2"
"HOmh8xguwZ","QA","0.0003486824950482707","2"
"I1WKiHb3sv","QA","0.009868943974470362","3"
"IFACNNQMQ1","QA","0.012295285763904913","4"
"JNVYnaVRsp","QA","0.0017936363016810908","3"
"KKryhhE2gy","QA","0.00721753304555146","2"
"KaQvuJKE7J","QA","0.004423131650548106","2"
"N9fJdBUfyb","QA","0.003619766345334099","3"
"OcoWwsm54i","QA","0.0014181121316031659","2"
"PbOWZ4AgzP","QA","0.004789769511195168","2"
"Piv2BAVBjb","QA","0.0002715254362071616","2"
"PpgyK99KCp","QA","0.0006993441469442382","2"
"QAyf5DdeQx","QA","0.0022781625374322504","2"
"RMKnL7LBIz","QA","0.00038336463868418754","1"
"SaYe2jfvm1","QA","0.0009131226738216431","2"
"T1AzP70USp","QA","0.0005306596063010615","1"
"Tr02JwZjhy","QA","0.00043114983907506467","2"
"TzdEINqeQ3","QA","0.005231354530977802","1"
"U3kOUVhX4u","QA","0.0013317130862913955","1"
"UEBl7EdDZ9","QA","0.0009657202012828465","2"
"UTmavsF5PP","QA","0.00009713167805697106","1"
"VDKHk5vrkl","QA","0.0008423425470147569","2"
"VPq8iKMsqe","QA","0.008341000702997262","3"
"WOg3c6F2qb","QA","0.005189069776342643","2"
"WVoV8iCOvj","QA","0.0017245468343011806","2"
"Wov4xNpA7T","QA","0.00048628527387178537","2"
"Xekqt4Riib","QA","0.03638349516734198","3"
"Xo9Cmm38zb","QA","0.002480348511840784","3"
"YIqkZzK3Mr","QA","0.002057308454044038","2"
"YWKNGvvRYL","QA","0.006581222254244908","2"
"Zrujj6xMaq","QA","0.0005850705892728736","2"
"a0wIqeSQUl","QA","0.003952852700167877","2"
"aL0ST7jF64","QA","0.007525418225888282","4"
"aX6GAcHASd","QA","0.0005568677227990554","2"
"ah6hOmGxWb","QA","0.0030718606414482296","2"
"cSvI9YJbOm","QA","0.0009708036214462699","1"
"dSxP3wkcnC","QA","0.0017258371543169555","2"
"df3blK7xCK","QA","0.0012592624166489381","2"
"eV1GNUy2Ap","QA","0.0019492958045820008","2"
"fTIBWOjS72","QA","0.00024085195250068064","2"
"g8kcrWKlGL","QA","0.00029030813209261666","2"
"gBC76gPy7m","QA","0.0011625567968408092","2"
"gFQWc9lAYl","QA","0.004768495173757176","1"
"gV91EsThnk","QA","0.00033008740542939076","1"
"hS1Alp29rA","QA","0.002597967707253032","2"
"i4ElfNu4I4","QA","0.000798159033082719","2"
"i5YJEliGqt","QA","0.0006308276896079847","2"
"iaiczoxwkA","QA","0.0035317341096259796","3"
"ibAALs4Kib","QA","0.0069012656496230925","4"
"j2Soc3UXMe","QA","0.0008341843344560553","2"
"jYvKmEqWDL","QA","0.001870124762774441","1"
"kL2NhZZs10","QA","0.000811525939235591","2"
"kbG28DWnEl","QA","0.0030642833502890453","2"
"kugsNJGHM0","QA","0.0060230457205468334","2"
"lEod4cQOjA","QA","0.0008905582593876798","2"
"lzV1KUQn8T","QA","0.00039688935299633457","2"
"m8DL9PMSGw","QA","0.0031106704711473775","2"
"nJ7xI6p6ke","QA","0.0000431938386645086","1"
"orFAnXZYab","QA","0.0003304295716062935","2"
"pEylj3e9vg","QA","0.0011027063211901972","2"
"peBlph5jGD","QA","0.005265883619574301","2"
"peveJ5filU","QA","0.000466252027877012","2"
"qKZnOoSVms","QA","0.006527094066223963","2"
"qhSxF8W44i","QA","0.00039497674564115256","2"
"rlnnUh0s4B","QA","0.002884409191951854","2"
"s2M6zLXI78","QA","0.00039590272846415445","2"
"ssxsD9sz3W","QA","0.00004567183293579917","1"
"tdNQLbe1QH","QA","0.0062107561849722515","2"
"u5CdlhYtYG","QA","0.000427981222916807","2"
"v5LZ5huEJh","QA","0.0031018783673602336","1"
"vNzsv601Hq","QA","0.0009451681433280371","2"
"vvyDUPQrs3","QA","0.0003187002517555787","2"
"xtuts8v2q5","QA","0.0008481711079989033","2"
"y9inaGnzv3","QA","0.0012854581579746778","2"
"yRnwMray1A","QA","0.0013312537482786555","2"
