"project id","tasks__operator","Task_Name","work_time"
"GOWpomgZRl","m9rfctjNGR","Undefined Task","60"
"iW1zEits8l","FcyNpCCzIV","Undefined Task","60"
"WVoV8iCOvj","FcyNpCCzIV","Undefined Task","120"
"N9fJdBUfyb","APnaTJhhYt","Undefined Task","180"
"3axCOOrlSE","HT6HMDaow0","Undefined Task","720"
"BHenA5dW8D","QJBObJ0uQ2","Undefined Task","2160"
"dSxP3wkcnC","cCWb8BDoGc","Undefined Task","2220"
"pEylj3e9vg","vMR5mpAkZD","Undefined Task","2280"
"Wov4xNpA7T","m9rfctjNGR","Undefined Task","2400"
"bvdd8e6v4G","d3g8920pzD","Undefined Task","2760"
"UTmavsF5PP","mwMA8zHnCv","Undefined Task","3660"
"g8kcrWKlGL","QJBObJ0uQ2","Undefined Task","4320"
"8KTWHJ2fal","E3HBsc92DA","Undefined Task","4620"
"nJ7xI6p6ke","mwMA8zHnCv","Undefined Task","5400"
"lEod4cQOjA","4LgicHJGyD","Undefined Task","6540"
"orFAnXZYab","OkZUjse4sS","Undefined Task","6780"
"BHKa9Vb55H","75vfNc1Wze","Undefined Task","7440"
"BS4BzvMClR","4LgicHJGyD","Undefined Task","10620"
"df3blK7xCK","d3g8920pzD","Undefined Task","14400"
